Name,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,<A1>,<A2>,Avel,SimbadName,_RA,_DE
LVHIS001,-1.37,7.3,1,11,0.264,1.06,,0.07,,,,HIPASS J0008-34,2.05583,-34.57806
LVHIS003,-1.24,6.2,1,22,,,,0.07,,,,HIPASS J0015-32,3.88104,-32.17981
LVHIS004,-1.19,9.4,3,5,,,1.26,0.13,0.45,,0.032,HIPASS J0015-39,3.72334,-39.19663
LVHIS005,-1.15,9.5,0,4,0.124,1.03,1.01,0.19,0.15,,0.028,HIPASS J0054-37,13.72269,-37.68421
LVHIS006,-1.5,10.4,12,3,0.446,1.24,1.22,0.18,,,0.017,HIPASS J0047-25,11.88806,-25.2888
LVHIS007,-1.3,9.7,5,8,0.304,1.13,1.25,0.05,0.2,,0.026,HIPASS J0047-20,11.91833,-20.47778
LVHIS008,-1.58,8.7,0,5,0.126,1.03,1.02,0.12,0.16,0.17,,HIPASS J0135-41,23.7693,-41.4362
LVHIS009,-1.55,8.3,0,3,0.154,1.2,,0.13,0.28,0.14,0.059,HIPASS J0145-43,26.26542,-43.59778
LVHIS010,-1.22,6.8,0,,0.432,1.16,,0.25,,,,HIPASS J0150-44,27.77625,-44.44472
LVHIS011,-1.36,8.1,0,0,0.156,1.04,1.02,0.07,0.12,0.38,0.02,HIPASS J0237-61,39.45651,-61.3316
LVHIS012,-1.1,8.7,0,2,0.166,1.01,1.01,0.09,0.17,0.37,0.024,HIPASS J0256-54,44.21,-54.57139
LVHIS013,-0.96,7.0,3,,0.292,1.32,,0.4,,,,HIPASS J0258-49,44.51708,-49.38222
LVHIS014,-1.54,9.5,2,30,0.096,1.02,1.08,0.22,0.26,0.2,0.042,HIPASS J0317-66,49.56686,-66.49826
LVHIS015,-1.23,8.2,1,11,0.172,1.15,,0.11,0.14,0.37,,HIPASS J0320-52,50.02894,-52.18549
LVHIS016,-1.35,7.1,0,,0.426,1.04,,,,,,HIPASS J0321-66,50.15208,-66.31111
LVHIS017,-0.98,8.5,1,19,0.072,1.04,1.05,0.04,0.07,0.64,0.014,HIPASS J0333-50,53.3024,-50.4142
LVHIS018,-1.19,8.2,7,1,0.12,1.17,1.12,0.07,0.04,0.21,0.045,HIPASS J0454-53,73.55611,-53.36096
LVHIS019,-1.1,7.3,1,45,0.116,1.12,,0.11,0.1,0.16,0.047,HIPASS J0457-42,74.24292,-42.80083
LVHIS020,-0.98,7.6,1,,0.138,1.09,1.16,0.08,0.07,0.12,0.034,HIPASS J0605-33,91.43333,-33.08333
LVHIS021,-1.13,7.9,1,4,0.164,1.12,1.03,0.18,0.21,,0.079,HIPASS J0607-34,91.8321,-34.20449
LVHIS022,-1.12,8.9,3,25,0.226,1.07,1.48,0.19,0.24,,0.149,HIPASS J0610-34,92.53971,-34.10619
LVHIS023,-1.46,7.2,1,,0.27,1.29,,0.74,0.67,0.92,,HIPASS J0615-57,93.97583,-57.72528
LVHIS024,-1.15,7.8,0,,0.14,1.08,1.0,0.07,0.02,0.14,,HIPASS J0639-40,99.88792,-40.72167
LVHIS025,-1.6,6.2,0,,0.16,1.04,1.07,0.13,0.15,,0.021,HIPASS J0705-58,106.3225,-58.52028
LVHIS026,-1.65,8.1,0,1,0.132,1.04,1.13,0.08,0.14,0.17,0.015,HIPASS J0731-68,112.82583,-68.18778
LVHIS027,-1.75,8.4,0,18,0.14,1.04,1.09,0.15,0.17,0.18,0.027,HIPASS J0926-76,141.54805,-76.62632
LVHIS028,-1.66,8.0,0,,0.17,1.02,,0.04,0.14,,0.054,HIPASS J1043-37,160.86292,-37.0425
LVHIS029,-1.58,7.4,0,,0.114,1.05,,0.17,0.23,,0.045,HIPASS J1047-38,161.92458,-38.85417
LVHIS030,-1.85,8.0,0,,0.138,1.01,1.05,0.16,0.08,0.14,0.029,HIPASS J1057-48,164.37583,-48.18389
LVHIS031,-1.53,9.7,1,11,0.052,1.01,1.01,0.2,0.14,,0.063,HIPASS J1118-32,169.56792,-32.8126
LVHIS032,-1.61,,2,,0.424,1.22,,,,,,HIPASS J1131-31,172.89667,-31.67222
LVHIS033,-1.69,7.7,2,,0.124,1.13,,,,,,HIPASS J1132-32,173.29667,-32.9625
LVHIS034,-1.82,8.1,1,,0.246,1.02,,0.09,,,,HIPASS J1137-39,174.47167,-39.22028
LVHIS035,-1.91,7.3,0,,0.206,1.04,,0.16,0.2,0.24,,HIPASS J1154-33,178.68125,-33.56
LVHIS036,-1.98,7.5,0,21,0.278,1.14,1.21,0.16,,,,HIPASS J1204-35,181.23625,-35.74278
LVHIS037,-2.02,7.0,0,12,0.252,1.04,,0.09,0.05,0.1,,HIPASS J1214-38,183.45667,-38.23111
LVHIS038,-1.74,8.2,1,1,0.23,1.06,,0.14,0.13,0.26,,HIPASS J1219-79,184.69208,-79.72583
LVHIS039,-2.03,7.2,2,33,0.16,1.01,,0.17,0.18,0.28,,HIPASS J1244-35,191.17708,-35.96694
LVHIS040,-2.06,7.4,0,5,0.108,1.01,1.03,0.04,0.05,0.14,0.022,HIPASS J1246-33,191.50167,-33.83806
LVHIS041,-1.72,7.1,0,,0.184,1.12,,0.11,,,,HIPASS J1247-77,191.90375,-77.57722
LVHIS042,-2.08,7.8,0,,0.322,1.17,,0.05,,,,HIPASS J1305-40,196.26042,-40.08194
LVHIS043,-1.77,10.1,0,5,0.11,1.12,,0.19,0.23,0.38,,HIPASS J1305-49,196.36366,-49.4679
LVHIS045,-2.1,,0,,0.212,1.08,,0.35,,,0.19,HIPASS J1321-31,200.28542,-31.53056
LVHIS046,-1.96,9.5,4,5,0.314,1.17,1.13,0.2,0.27,0.49,0.078,HIPASS J1321-36,200.49004,-36.63011
LVHIS047,-2.05,7.9,3,,0.536,1.46,,0.44,,,,HIPASS J1324-30,201.15042,-30.97222
LVHIS049,-1.92,7.5,0,0,0.216,1.07,,,,,,HIPASS J1326-30,201.74875,-30.07417
LVHIS050,-2.0,8.0,1,1,0.098,1.08,1.0,0.29,,,0.166,HIPASS J1327-41,201.91167,-41.47972
LVHIS051,-1.89,8.7,1,2,0.138,1.04,1.02,0.11,0.21,,0.035,HIPASS J1334-45,203.69708,-45.5475
LVHIS052,-2.08,7.2,0,3,0.258,1.13,,,,,,HIPASS J1336-29,204.12833,-29.23417
LVHIS053,-2.1,10.5,9,1,0.296,1.21,1.48,0.34,,,0.078,HIPASS J1337-29,204.25383,-29.86576
LVHIS054,-1.96,,1,,0.27,1.24,,0.1,,,,HIPASS J1337-39,204.355,-39.89778
LVHIS055,-1.75,8.3,1,12,0.25,1.11,1.28,0.15,0.24,0.18,,HIPASS J1337-42,204.41273,-42.84692
LVHIS056,-2.04,6.9,0,2,0.182,1.01,1.1,0.19,0.22,,,HIPASS J1337-28,204.335,-28.04417
LVHIS057,-1.88,8.6,0,3,0.16,1.13,,0.22,0.24,,,HIPASS J1339-31,204.83679,-31.67758
LVHIS058,-2.05,7.9,0,0,0.278,1.13,,,,,,HIPASS J1340-28,205.07542,-28.89472
LVHIS059,-2.04,8.7,1,1,0.208,1.01,,0.07,0.11,0.1,,HIPASS J1341-29,205.40285,-29.91312
