Name,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,<A1>,<A2>,Avel,Simbad,_RA,_DE
NGC4064,-0.44,10.1,2,3,0.442,1.05,1.29,0.28,0.09,,0.11,Simbad,181.04663,18.44345
NGC4189,1.06,9.6,0,2,0.4,1.33,1.59,0.17,0.09,0.36,0.096,Simbad,183.44683,13.42485
NGC4192,0.91,10.7,13,,0.56,1.17,1.35,0.19,0.39,,0.079,Simbad,183.45121,14.90054
NGC4216,1.03,11.0,0,,0.538,1.01,1.06,0.19,0.23,,0.013,Simbad,183.97685,13.1494
NGC4222,1.11,9.4,2,,1.986,1.04,1.01,0.19,,,0.019,Simbad,184.09384,13.30707
NGC4254,0.94,10.4,4,,0.542,1.22,1.43,0.27,0.23,,0.084,Simbad,184.70677,14.41649
NGC4293,0.65,10.5,0,,1.078,1.05,,0.13,,,,Simbad,185.30371,18.3824
NGC4294,0.99,9.3,9,5,1.756,1.46,1.64,0.37,0.85,0.77,0.16,Simbad,185.32411,11.51111
NGC4298,0.88,10.1,10,1,0.682,1.46,1.67,0.17,0.6,,0.067,Simbad,185.38649,14.60612
NGC4299,1.03,,0,16,1.964,1.1,,0.39,0.01,0.01,0.326,Simbad,185.41895,11.49993
NGC4302,0.93,10.4,5,23,0.212,1.12,1.21,0.17,,,0.029,Simbad,185.42699,14.59776
NGC4321,0.84,10.7,5,6,0.246,1.08,1.31,0.2,0.11,0.56,0.036,Simbad,185.72887,15.8223
NGC4330,1.13,9.5,6,11,0.27,1.12,1.32,0.36,,,0.016,Simbad,185.82187,11.36798
NGC4351,1.36,9.2,0,17,0.634,1.06,,0.28,0.18,0.53,0.165,Simbad,186.0065,12.20502
NGC4380,1.25,10.1,0,10,0.268,1.09,1.15,0.23,0.3,,0.031,Simbad,186.34241,10.01671
NGC4383,1.29,9.4,1,2,0.312,1.02,1.06,0.23,0.42,0.33,0.09,Simbad,186.3561,16.4699
NGC4388,1.27,10.2,7,11,0.226,1.05,1.38,0.23,0.73,,0.036,Simbad,186.44508,12.66207
NGC4394,0.8,10.3,0,,0.494,1.06,1.02,0.23,0.29,0.25,0.065,Simbad,186.48182,18.21392
NGC4396,1.25,9.2,2,11,0.254,1.17,1.02,0.24,0.52,,0.013,Simbad,186.49501,15.67147
NGC4402,0.9,10.1,11,6,0.844,1.33,1.34,0.19,0.52,,0.056,Simbad,186.53189,13.11332
NGC4405,1.07,9.7,1,17,0.566,1.27,1.17,0.11,,,0.06,Simbad,186.52974,16.18099
NGC4419,1.3,10.4,3,,0.758,1.62,1.62,0.18,,,,Simbad,186.73521,15.04741
NGC4424,1.27,9.9,5,7,0.908,1.69,,0.53,0.36,0.5,0.16,Simbad,186.79823,9.42065
NGC4450,0.9,10.8,10,,0.262,1.12,1.12,0.25,0.3,,0.048,Simbad,187.1233,17.08499
NGC4457,0.8,10.4,0,,0.452,1.05,1.16,0.2,0.12,,0.151,Simbad,187.24594,3.57062
NGC4501,1.14,11.0,34,,0.55,1.68,1.38,0.4,0.49,,0.09,Simbad,187.99647,14.42032
NGC4522,0.95,9.4,4,9,0.316,1.12,1.22,0.41,0.49,,0.063,Simbad,188.41524,9.17487
NGC4532,0.91,9.2,3,45,0.644,1.26,,0.31,0.36,0.47,0.091,Simbad,188.58054,6.4677
NGC4535,1.08,10.4,6,0,0.194,1.18,1.21,0.19,0.1,0.58,0.056,Simbad,188.58477,8.19775
NGC4536,0.62,10.3,1,,0.62,1.08,1.05,0.19,,,0.032,Simbad,188.6128,2.1883
NGC4548,0.99,10.8,5,,1.206,1.04,1.18,0.28,,,0.056,Simbad,188.86019,14.49632
NGC4561,0.21,,1,,0.238,1.05,1.18,0.14,0.15,0.26,0.064,Simbad,189.0339,19.32259
NGC4567,0.92,10.4,3,21,0.566,1.04,1.12,0.3,0.23,0.41,0.121,Simbad,189.13624,11.25798
NGC4569,1.1,10.7,3,,0.314,1.13,1.24,0.25,0.27,,0.088,Simbad,189.2075,13.16292
NGC4579,1.02,10.9,7,,0.156,1.16,1.08,0.15,0.18,,0.041,Simbad,189.4314,11.8183
NGC4580,0.64,10.0,3,2,0.474,1.12,1.17,0.15,0.22,,0.063,Simbad,189.45156,5.36851
NGC4606,1.08,9.8,1,22,0.936,1.24,,0.24,,,,Simbad,190.23982,11.91219
NGC4607,1.02,9.6,2,34,1.654,1.15,1.01,0.16,0.03,,0.025,Simbad,190.3017,11.88663
NGC4651,0.31,10.1,7,20,0.55,1.15,1.18,0.19,0.36,0.01,0.071,Simbad,190.92766,16.39333
NGC4654,1.06,10.1,15,7,1.19,1.4,1.78,0.29,0.2,0.7,0.123,Simbad,190.98599,13.12635
NGC4689,0.86,10.2,1,8,0.152,1.07,1.15,0.12,,,0.068,Simbad,191.93982,13.76282
NGC4698,0.6,10.6,6,31,0.38,1.11,1.1,0.21,0.14,0.22,0.028,Simbad,192.09545,8.48741
NGC4713,0.24,9.2,0,22,0.316,1.07,1.04,0.28,0.34,0.47,0.089,Simbad,192.49117,5.31137
NGC4772,0.25,10.3,9,,0.224,1.15,1.15,0.34,0.57,0.4,0.037,Simbad,193.37152,2.16837
NGC4808,0.19,9.5,1,19,0.356,1.04,1.13,0.27,0.32,,0.037,Simbad,193.95392,4.30409
