UGC,Gini,e_Gini,M20,e_M20,C,e_C,A,e_A,S,e_S,Ell,e_Ell,GM,e_GM,Axy,e_Axy,Simbad,NED,_RA,_DE
00079,0.704,0.003,-0.58,0.01,16.984,0.165,2.0,0.0,0.106,0.004,0.567,0.002,0.78,0.002,1.414,0.0,Simbad,NED,2.26844,25.61862
00089,0.704,0.003,-1.111,0.032,20.173,0.319,1.633,0.07,0.106,0.004,0.567,0.003,0.827,0.002,1.392,0.009,Simbad,NED,2.47255,25.92374
00094,0.704,0.004,-1.228,0.035,21.117,0.251,1.915,0.028,0.106,0.006,0.567,0.002,0.854,0.001,1.405,0.005,Simbad,NED,2.60782,25.8318
00192,0.564,0.001,-1.685,0.02,9.807,0.185,1.291,0.008,0.304,0.001,0.254,0.001,0.598,0.002,1.265,0.005,Simbad,NED,5.0965,59.29297
00232,0.621,0.007,-1.601,0.169,6.984,0.431,1.08,0.291,0.124,0.009,0.083,0.017,0.354,0.009,1.364,0.024,Simbad,NED,6.16127,33.25614
00485,0.651,0.014,-1.457,0.18,8.58,1.141,1.464,0.115,0.308,0.011,0.299,0.017,0.498,0.007,1.414,0.025,Simbad,NED,11.78444,30.34087
00499,,,,,,,,,,,,,,,,,Simbad,NED,12.19632,31.95692
00508,0.521,0.003,-0.597,0.103,3.293,0.642,2.0,0.0,0.287,0.009,0.76,0.032,0.587,0.001,1.414,0.0,Simbad,NED,12.44914,32.27772
00528,0.542,0.005,-1.801,0.045,9.322,0.119,1.133,0.098,0.375,0.004,0.166,0.006,0.5,0.004,1.414,0.016,Simbad,NED,13.01792,47.55054
00608,0.537,0.006,-0.757,0.022,14.368,4.414,2.0,0.0,0.393,0.003,0.695,0.003,0.642,0.003,1.414,0.0,Simbad,NED,14.76025,48.01861
00622,0.537,0.006,-0.679,0.011,2.259,0.102,2.0,0.0,0.393,0.008,0.695,0.002,0.644,0.003,1.414,0.001,Simbad,NED,15.11717,47.99525
00623,0.721,0.005,-0.874,0.027,1.702,0.068,2.0,0.0,0.22,0.008,0.607,0.007,0.794,0.002,1.414,0.0,Simbad,NED,15.13547,30.79724
00624,0.721,0.004,-2.902,0.37,17.322,0.473,1.168,0.226,0.22,0.007,0.607,0.005,0.838,0.001,1.366,0.022,Simbad,NED,15.15171,30.66892
00625,0.537,0.006,-0.558,0.025,20.891,0.359,1.321,0.108,0.393,0.009,0.695,0.003,0.857,0.002,1.414,0.013,Simbad,NED,15.23097,47.68198
00655,0.477,0.006,-1.238,0.026,6.266,0.117,1.004,0.176,0.357,0.007,0.154,0.007,0.429,0.004,1.414,0.019,Simbad,NED,16.00625,41.84181
00690,0.477,0.016,-1.275,0.131,6.466,0.349,0.968,0.214,0.372,0.023,0.273,0.018,0.464,0.014,1.33,0.04,Simbad,NED,16.88645,39.40012
00718,0.431,0.001,-0.779,0.01,7.489,0.043,1.042,0.012,0.277,0.001,0.043,0.001,0.57,0.001,0.854,0.005,Simbad,NED,17.36258,35.71797
00731,0.537,0.005,-1.053,0.024,6.0,0.133,0.789,0.205,0.205,0.003,0.413,0.005,0.459,0.006,1.379,0.018,Simbad,NED,17.68333,49.60219
00798,0.521,0.004,-0.697,0.185,0.224,0.127,2.0,0.0,0.164,0.017,0.144,0.231,0.521,0.001,1.414,0.0,Simbad,NED,18.79922,30.19487
01013,0.541,0.009,-0.98,0.091,6.614,0.282,1.999,0.011,0.358,0.016,0.463,0.015,0.526,0.01,1.414,0.004,Simbad,NED,21.59072,34.703
01178,0.604,0.014,-1.336,0.117,8.325,0.466,1.336,0.091,0.311,0.014,0.382,0.017,0.473,0.01,1.35,0.033,Simbad,NED,25.11654,34.62534
01249,0.61,0.002,-0.932,0.014,9.766,0.171,1.242,0.098,0.171,0.003,0.489,0.006,0.663,0.001,1.401,0.006,Simbad,NED,26.87454,27.33335
01256,0.61,0.002,-0.934,0.017,9.803,0.065,1.588,0.11,0.171,0.004,0.489,0.005,0.631,0.002,1.414,0.005,Simbad,NED,26.97718,27.43278
01281,0.69,0.004,-1.369,0.032,8.384,0.323,0.79,0.289,0.149,0.004,0.703,0.002,0.587,0.004,1.414,0.016,Simbad,NED,27.38212,32.58783
01286,,,,,,,,,,,,,,,,,Simbad,NED,27.44703,21.97083
01305,,,,,,,,,,,,,,,,,Simbad,NED,27.67384,21.7599
01310,,,,,,,,,,,,,,,,,Simbad,NED,27.74372,21.99755
01313,,,,,,,,,,,,,,,,,Simbad,NED,27.78604,21.91244
01317,,,,,,,,,,,,,,,,,Simbad,NED,27.8232,22.35797
01437,0.519,0.008,-0.767,0.09,9.746,0.736,1.97,0.071,0.332,0.011,0.747,0.008,0.857,0.003,1.391,0.011,Simbad,NED,29.42578,35.91615
01501,0.707,0.004,-1.395,0.032,9.014,0.253,0.713,0.29,0.093,0.002,0.588,0.002,0.557,0.005,1.414,0.03,Simbad,NED,30.32055,28.83726
01541,0.729,0.005,-0.567,0.004,13.313,0.27,1.636,0.106,0.112,0.003,0.797,0.001,0.87,0.001,1.414,0.008,Simbad,NED,30.86708,38.11697
01550,0.729,0.005,-2.521,0.069,18.321,0.334,2.0,0.0,0.112,0.005,0.797,0.001,0.771,0.004,1.414,0.0,Simbad,NED,30.93687,38.25867
01633,0.569,0.007,-1.317,0.072,7.151,0.326,1.923,0.137,0.352,0.014,0.34,0.014,0.469,0.013,1.388,0.013,Simbad,NED,32.18546,38.77725
01810,0.527,0.01,-1.242,0.068,7.116,0.684,1.485,0.17,0.367,0.011,0.331,0.01,0.522,0.014,1.414,0.027,Simbad,NED,35.3696,39.37574
01856,0.666,0.007,-1.476,0.102,9.022,0.751,1.716,0.061,0.272,0.005,0.453,0.004,0.516,0.006,1.414,0.02,Simbad,NED,36.13162,31.61528
01886,0.502,0.008,-1.026,0.043,5.686,0.329,1.046,0.037,0.349,0.011,0.367,0.009,0.469,0.009,1.414,0.021,Simbad,NED,36.50207,39.47089
01913,0.628,0.002,-1.089,0.008,6.036,0.077,0.716,0.119,0.157,0.001,0.261,0.002,0.478,0.003,1.414,0.009,Simbad,NED,36.82047,33.57888
01993,0.549,0.016,-0.981,0.123,5.928,0.526,1.47,0.14,0.353,0.014,0.493,0.021,0.493,0.013,1.355,0.035,Simbad,NED,37.91688,39.37837
02023,0.573,0.004,-1.324,0.054,6.447,0.379,0.804,0.155,0.199,0.003,0.222,0.009,0.432,0.01,1.377,0.022,Simbad,NED,38.3255,33.49042
02034,0.502,0.005,-1.277,0.033,6.34,0.098,0.766,0.061,0.232,0.003,0.032,0.005,0.395,0.003,1.387,0.014,Simbad,NED,38.42883,40.52867
02045,0.735,0.006,-1.98,0.158,10.446,0.535,0.696,0.214,0.115,0.004,0.13,0.01,0.436,0.006,1.414,0.035,Simbad,NED,38.55577,29.31124
02053,0.626,0.004,-1.389,0.053,6.994,0.464,0.778,0.069,0.19,0.004,0.101,0.007,0.418,0.007,1.365,0.026,Simbad,NED,38.62212,29.74983
02065,0.646,0.008,-0.488,0.004,15.639,0.296,2.0,0.0,0.383,0.006,0.874,0.001,0.857,0.002,1.399,0.014,Simbad,NED,38.84379,37.48581
02069,0.646,0.007,-2.736,0.291,18.911,0.945,2.0,0.0,0.383,0.006,0.874,0.001,0.718,0.003,1.414,0.0,Simbad,NED,38.90575,37.63764
02080,0.446,0.002,-1.226,0.013,6.641,0.062,0.877,0.023,0.264,0.002,0.144,0.003,0.436,0.002,1.414,0.004,Simbad,NED,39.11596,38.96904
